show_id,type,title,director,cast,country,data_added,release_year,rating,listed_in,description,duration
s0001,Movie,Title 1,,"Actor 0, Actor 1",France,"March 23, 2021",1983,NC-17,"Dramas, Documentaries",A thrilling journey.,83 min
s0002,Movie,Title 2,Director 1,"Actor 1, Actor 2",,"February 06, 2019",,TV-MA,"Horror Movies, Kids’ TV",A thrilling journey.,78 min
s0003,Movie,Title 3,Director 2,"Actor 2, Actor 3",Japan,"May 12, 2021",2018,TV-14,"Comedies, Action & Adventure",,131 min
s0004,TV Show,Title 4,Director 3,"Actor 3, Actor 4",United Kingdom,"November 19, 2019",,PG-13,"Action & Adventure, Dramas",A gripping mystery unfolds.,5 Seasons
s0005,Movie,Title 5,Director 4,"Actor 4, Actor 5",France,"June 25, 2021",,TV-MA,"Action & Adventure, Stand-Up Comedy",A hilarious comedy.,87 min
s0006,TV Show,Title 6,Director 5,"Actor 5, Actor 6",India,"October 18, 2017",,PG,"Comedies, Horror Movies",A documentary revealing truths.,1 Seasons
s0007,Movie,Title 7,Director 6,"Actor 6, Actor 7",France,"April 27, 2020",1988,PG-13,"Action & Adventure, Stand-Up Comedy",A hilarious comedy.,138 min
s0008,TV Show,Title 8,Director 7,"Actor 7, Actor 8",Japan,"June 05, 2017",1984,TV-14,"Kids’ TV, Documentaries",A hilarious comedy.,5 Seasons
s0009,Movie,Title 9,Director 8,"Actor 8, Actor 9",France,"September 04, 2020",1984,PG,"Stand-Up Comedy, Dramas",,70 min
s0010,Movie,Title 10,Director 9,"Actor 9, Actor 10",United Kingdom,"February 07, 2017",1988,TV-PG,"Kids’ TV, Horror Movies",A thrilling journey.,70 min
s0011,Movie,Title 11,Director 10,,France,"December 02, 2021",2019,G,"Dramas, Comedies",A documentary revealing truths.,79 min
s0012,TV Show,Title 12,Director 11,"Actor 11, Actor 12",Canada,"June 09, 2017",,NC-17,"Action & Adventure, Comedies",,1 Seasons
s0013,Movie,Title 13,,"Actor 12, Actor 13",South Korea,"May 27, 2020",2019,TV-MA,"Documentaries, Action & Adventure",A hilarious comedy.,110 min
s0014,Movie,Title 14,Director 13,"Actor 13, Actor 14",Canada,"June 16, 2017",,TV-PG,"Horror Movies, Comedies",A documentary revealing truths.,102 min
s0015,,Title 15,Director 14,"Actor 14, Actor 15",Japan,"July 13, 2019",2011,PG-13,"Action & Adventure, Stand-Up Comedy",,
s0016,Movie,Title 16,Director 15,"Actor 15, Actor 16",Canada,"January 07, 2021",,R,"Documentaries, Action & Adventure",A documentary revealing truths.,122 min
s0017,,Title 17,,"Actor 16, Actor 17",Japan,"March 24, 2019",1998,TV-MA,,A gripping mystery unfolds.,
s0018,Movie,Title 18,Director 17,"Actor 17, Actor 18",United States,"June 05, 2017",1993,PG,"Documentaries, Kids’ TV",,119 min
s0019,TV Show,Title 19,Director 18,"Actor 18, Actor 19",France,"March 25, 2016",,R,"Horror Movies, Action & Adventure",,2 Seasons
s0020,Movie,Title 20,Director 19,"Actor 19, Actor 20",Germany,"March 11, 2015",,TV-MA,"Documentaries, Dramas",A documentary revealing truths.,102 min
s0021,Movie,Title 21,Director 20,"Actor 20, Actor 21",United States,"April 16, 2017",1992,G,"Documentaries, Comedies",A hilarious comedy.,145 min
s0022,Movie,Title 22,Director 21,"Actor 21, Actor 22",,"November 22, 2019",,TV-14,"Stand-Up Comedy, Documentaries",,86 min
s0023,Movie,Title 23,Director 22,,United Kingdom,"November 17, 2020",,R,"Action & Adventure, Dramas",A hilarious comedy.,85 min
s0024,Movie,Title 24,Director 23,"Actor 23, Actor 24",Japan,"May 13, 2021",,PG,"Kids’ TV, Horror Movies",A thrilling journey.,130 min
s0025,Movie,Title 25,,"Actor 24, Actor 25",France,"February 05, 2021",2014,TV-14,"Action & Adventure, Documentaries",A documentary revealing truths.,83 min
